sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1653318751;6268;1653318751;6325;1653318751;6268;0.04768124;
1653318752;141001;1653318752;141076;1653318752;141001;0.143054;
1653318753;198304;1653318753;198395;1653318753;198304;0.1130934;
1653318754;375546;1653318754;375601;1653318754;375546;0.04831171;
1653318755;432072;1653318755;432154;1653318755;432072;0.0511452;
1653318756;695376;1653318756;695786;1653318756;695376;0.02539136;
1653318757;688691;1653318757;689349;1653318757;688691;-0.00894013;
1653318758;761506;1653318758;762013;1653318758;761506;-0.05312033;
1653318759;704738;1653318759;705450;1653318759;704738;-0.08477031;
1653318760;768949;1653318760;769194;1653318760;768949;-0.1077779;
1653318761;785347;1653318761;785410;1653318761;785347;-0.1145535;
1653318762;738139;1653318762;738545;1653318762;738139;-0.09511685;
1653318763;551317;1653318763;551384;1653318763;551317;-0.1341989;
1653318764;523249;1653318764;523297;1653318764;523249;-0.05837024;
1653318765;470599;1653318765;470644;1653318765;470599;0.01936504;
1653318766;527107;1653318766;527372;1653318766;527107;0.09848257;
1653318767;398489;1653318767;398544;1653318767;398489;0.1316354;
1653318768;378549;1653318768;378649;1653318768;378549;0.1406876;
1653318769;250030;1653318769;250105;1653318769;250030;0.1316521;
1653318770;349117;1653318770;349275;1653318770;349117;0.08279289;
1653318771;348000;1653318771;348184;1653318771;348000;0.08851249;
1653318772;374527;1653318772;374605;1653318772;374527;0.06570213;
1653318773;273828;1653318773;274014;1653318773;273828;0.02741306;
1653318774;148300;1653318774;148348;1653318774;148300;-0.01450922;
1653318775;118250;1653318775;118305;1653318775;118250;-0.05345583;
1653318776;67466;1653318776;67519;1653318776;67466;-0.09521559;
1653318776;999311;1653318776;999427;1653318776;999311;-0.129795;
1653318777;860929;1653318777;860979;1653318777;860929;-0.147633;
1653318778;756758;1653318778;756804;1653318778;756758;-0.04414538;
1653318779;686653;1653318779;686792;1653318779;686653;-0.04219414;
1653318780;554596;1653318780;554681;1653318780;554596;0.01687195;
1653318781;470585;1653318781;470645;1653318781;470585;0.05049652;
1653318782;416256;1653318782;416299;1653318782;416256;0.1040477;
1653318783;349542;1653318783;349694;1653318783;349542;0.1115709;
1653318784;262978;1653318784;263119;1653318784;262978;0.1160083;
1653318784;987547;1653318784;987600;1653318784;987547;0.1307499;
1653318785;926429;1653318785;926548;1653318785;926429;0.2113394;
1653318786;825836;1653318786;825997;1653318786;825836;0.2313202;
1653318787;716082;1653318787;716172;1653318787;716082;0.2313202;
1653318788;589795;1653318788;589876;1653318788;589795;0.2000917;
1653318789;452117;1653318789;452223;1653318789;452117;0.2104814;
1653318790;373073;1653318790;373152;1653318790;373073;0.1489258;
1653318791;400943;1653318791;400992;1653318791;400943;0.05905985;
1653318792;421083;1653318792;421636;1653318792;421083;-0.02291403;
1653318793;367754;1653318793;367844;1653318793;367754;-0.04652053;
1653318794;417994;1653318794;418706;1653318794;417994;-0.09246513;
1653318795;410036;1653318795;416466;1653318795;410036;-0.1377044;
1653318796;391210;1653318796;392002;1653318796;391210;-0.08642265;
1653318797;321649;1653318797;321698;1653318797;321649;-0.08226796;
1653318798;285300;1653318798;289788;1653318798;285300;-0.05605786;
1653318799;87591;1653318799;88302;1653318799;87591;0.66;
1653318799;962634;1653318799;962683;1653318799;962634;0.66;
1653318800;819342;1653318800;819397;1653318800;819342;0.66;
1653318801;806650;1653318801;807061;1653318801;806650;0.05340331;
1653318802;699113;1653318802;699634;1653318802;699113;0.07272768;
1653318803;643948;1653318803;644502;1653318803;643948;0.08265055;
1653318804;569863;1653318804;569909;1653318804;569863;0.08145458;
1653318805;537857;1653318805;538974;1653318805;537857;0.05668701;
1653318806;486218;1653318806;486265;1653318806;486218;0.1375387;
1653318807;504680;1653318807;504760;1653318807;504680;0.1818126;
1653318808;529659;1653318808;530404;1653318808;529659;0.1960697;
1653318809;574071;1653318809;574128;1653318809;574071;0.1662634;
1653318810;581959;1653318810;582494;1653318810;581959;0.09919117;
1653318811;487371;1653318811;487904;1653318811;487371;0.09462315;
1653318812;543873;1653318812;544529;1653318812;543873;0.05263858;
1653318813;556920;1653318813;557251;1653318813;556920;-0.06449877;
1653318814;567884;1653318814;568374;1653318814;567884;-0.1241068;
1653318815;470422;1653318815;470787;1653318815;470422;-0.1711535;
1653318816;476989;1653318816;477219;1653318816;476989;-0.1943206;
1653318817;390453;1653318817;390727;1653318817;390453;-0.2487316;
1653318818;509145;1653318818;509693;1653318818;509145;-0.2444924;
1653318819;510088;1653318819;510572;1653318819;510088;-0.1721023;
1653318820;463023;1653318820;463527;1653318820;463023;-0.1239346;
1653318821;373701;1653318821;373811;1653318821;373701;-0.07301933;
1653318822;410416;1653318822;410504;1653318822;410416;0.09048788;
1653318823;401848;1653318823;402296;1653318823;401848;0.66;
1653318824;179062;1653318824;179126;1653318824;179062;0.1820193;
1653318825;225855;1653318825;225973;1653318825;225855;0.2602204;
1653318826;154437;1653318826;154556;1653318826;154437;0.3023702;
1653318827;122306;1653318827;122412;1653318827;122306;0.3066657;
1653318828;47489;1653318828;47599;1653318828;47489;0.2561166;
1653318829;68860;1653318829;68914;1653318829;68860;0.3035271;
1653318830;50813;1653318830;50901;1653318830;50813;0.2522067;
1653318831;155759;1653318831;155845;1653318831;155759;0.2025378;
1653318832;95694;1653318832;96198;1653318832;95694;-0.66;
1653318833;108648;1653318833;109075;1653318833;108648;-0.66;
1653318834;44259;1653318834;44426;1653318834;44259;-0.66;
1653318835;125598;1653318835;126107;1653318835;125598;0.06153223;
1653318836;37177;1653318836;37223;1653318836;37177;-0.01093013;
1653318837;39519;1653318837;39643;1653318837;39519;-0.09447674;
1653318838;110414;1653318838;110740;1653318838;110414;-0.1898719;
1653318839;78470;1653318839;78519;1653318839;78470;-0.2588028;
1653318840;104045;1653318840;104092;1653318840;104045;-0.3300734;
1653318840;954158;1653318840;954433;1653318840;954158;-0.3409172;
1653318841;875641;1653318841;875690;1653318841;875641;-0.3140788;
1653318842;839923;1653318842;839975;1653318842;839923;-0.1991952;
1653318843;755987;1653318843;756038;1653318843;755987;-0.1450974;
1653318844;813150;1653318844;813201;1653318844;813150;0.66;
1653318845;624132;1653318845;624183;1653318845;624132;0.66;
1653318846;587837;1653318846;587889;1653318846;587837;0.66;
1653318847;557377;1653318847;557427;1653318847;557377;-0.1653991;
1653318848;451529;1653318848;451580;1653318848;451529;-0.05704463;
1653318849;357119;1653318849;357177;1653318849;357119;0.01898693;
1653318850;187954;1653318850;189217;1653318850;187954;0.66;
1653318851;103336;1653318851;103388;1653318851;103336;0.1030495;
1653318852;121964;1653318852;122300;1653318852;121964;0.1386061;
1653318853;85309;1653318853;85366;1653318853;85309;0.167151;
1653318853;926558;1653318853;926618;1653318853;926558;0.1730387;
1653318854;861839;1653318854;861904;1653318854;861839;0.1370817;
1653318855;758802;1653318855;758858;1653318855;758802;0.1466763;
1653318856;751073;1653318856;751122;1653318856;751073;0.09479208;
1653318857;626777;1653318857;626830;1653318857;626777;0.09009125;
1653318858;515366;1653318858;515439;1653318858;515366;0.05036401;
1653318859;557560;1653318859;557613;1653318859;557560;0.02151646;
1653318860;512432;1653318860;512504;1653318860;512432;0.008984875;
1653318861;366973;1653318861;367028;1653318861;366973;-0.01945708;
1653318862;409535;1653318862;409654;1653318862;409535;-0.04429786;
1653318863;380414;1653318863;380463;1653318863;380414;-0.1262193;
1653318864;314827;1653318864;314880;1653318864;314827;-0.1507613;
1653318865;295059;1653318865;295155;1653318865;295059;-0.1577771;
1653318866;227370;1653318866;227484;1653318866;227370;0.66;
1653318867;61452;1653318867;61521;1653318867;61452;0.66;
1653318867;961333;1653318867;961386;1653318867;961333;0.66;
1653318868;895654;1653318868;895707;1653318868;895654;0.66;
1653318869;779094;1653318869;779176;1653318869;779094;0.66;
1653318870;624638;1653318870;624690;1653318870;624638;-0.1495811;
1653318871;575315;1653318871;575363;1653318871;575315;-0.07691793;
1653318872;439532;1653318872;439589;1653318872;439532;0.66;
1653318873;393945;1653318873;393995;1653318873;393945;0.66;
1653318874;310977;1653318874;311174;1653318874;310977;-0.0388659;
1653318875;93393;1653318875;93442;1653318875;93393;-0.05634463;
1653318876;50452;1653318876;50499;1653318876;50452;-0.06062885;
1653318877;59677;1653318877;59735;1653318877;59677;0.03590341;
1653318877;921744;1653318877;921808;1653318877;921744;0.1080588;
1653318878;903530;1653318878;903576;1653318878;903530;0.1586861;
1653318879;772336;1653318879;772403;1653318879;772336;0.1975784;
1653318880;716919;1653318880;717007;1653318880;716919;0.1968731;
1653318881;653285;1653318881;653334;1653318881;653285;0.1539998;
1653318882;671106;1653318882;671172;1653318882;671106;0.1964736;
1653318883;566460;1653318883;566513;1653318883;566460;0.1791181;
1653318884;563879;1653318884;563984;1653318884;563879;0.1252826;
1653318885;455234;1653318885;455374;1653318885;455234;0.05571664;
1653318886;470730;1653318886;470781;1653318886;470730;0.05299608;
1653318887;500259;1653318887;500374;1653318887;500259;0.01326487;
1653318888;496186;1653318888;496232;1653318888;496186;-0.03907469;
1653318889;539803;1653318889;539852;1653318889;539803;-0.08042086;
1653318890;514798;1653318890;514854;1653318890;514798;-0.1509396;
1653318891;597319;1653318891;597399;1653318891;597319;-0.1931327;
1653318892;551584;1653318892;551671;1653318892;551584;-0.2094133;
1653318893;558888;1653318893;558943;1653318893;558888;-0.1858304;
1653318894;559988;1653318894;560108;1653318894;559988;-0.1380972;
1653318895;572240;1653318895;572359;1653318895;572240;-0.04916081;
1653318896;473261;1653318896;473317;1653318896;473261;0.02390716;
1653318897;424210;1653318897;424723;1653318897;424210;0.1109811;
1653318898;405567;1653318898;405646;1653318898;405567;0.1958444;
1653318899;309104;1653318899;309156;1653318899;309104;0.2627529;
1653318900;348470;1653318900;349094;1653318900;348470;0.3005565;
1653318901;284029;1653318901;284110;1653318901;284029;0.2913792;
1653318902;423437;1653318902;423553;1653318902;423437;0.2091657;
1653318903;405652;1653318903;405742;1653318903;405652;0.1611588;
1653318904;429983;1653318904;430248;1653318904;429983;0.07824495;
1653318905;478570;1653318905;478623;1653318905;478570;-0.06003409;
1653318906;478930;1653318906;479057;1653318906;478930;-0.153886;
1653318907;480327;1653318907;480384;1653318907;480327;-0.182519;
1653318908;491835;1653318908;491887;1653318908;491835;-0.263899;
1653318909;491002;1653318909;491175;1653318909;491002;-0.3554269;
1653318910;367548;1653318910;367617;1653318910;367548;-0.3643204;
1653318911;271521;1653318911;271609;1653318911;271521;-0.3225008;
1653318912;93294;1653318912;93371;1653318912;93294;0.66;
1653318913;34915;1653318913;35090;1653318913;34915;0.66;
1653318913;877753;1653318913;877904;1653318913;877753;0.66;
1653318914;834677;1653318914;834908;1653318914;834677;0.66;
1653318915;641947;1653318915;642698;1653318915;641947;0.66;
1653318916;576725;1653318916;576810;1653318916;576725;0.66;
1653318917;450700;1653318917;450748;1653318917;450700;-0.2527071;
1653318918;437305;1653318918;437438;1653318918;437305;-0.2071236;
1653318919;361638;1653318919;361773;1653318919;361638;0.66;
1653318920;169237;1653318920;169403;1653318920;169237;0.66;
1653318921;148833;1653318921;149098;1653318921;148833;-0.228934;
1653318922;123358;1653318922;123701;1653318922;123358;-0.2079944;
1653318923;26472;1653318923;26766;1653318923;26472;0.66;
1653318923;870895;1653318923;870941;1653318923;870895;0.66;
1653318924;750838;1653318924;750947;1653318924;750838;-0.08474106;
1653318925;714525;1653318925;714587;1653318925;714525;0.04206413;
1653318926;654887;1653318926;654976;1653318926;654887;0.183894;
1653318927;631718;1653318927;631829;1653318927;631718;0.3142357;
1653318928;687560;1653318928;687941;1653318928;687560;0.4215377;
1653318929;629951;1653318929;630116;1653318929;629951;0.5109305;
1653318930;614507;1653318930;614590;1653318930;614507;0.5991037;
1653318931;688261;1653318931;688307;1653318931;688261;0.6243114;
1653318932;656682;1653318932;656766;1653318932;656682;0.6571817;
1653318933;697223;1653318933;697313;1653318933;697223;0.6116017;
1653318934;687205;1653318934;687459;1653318934;687205;0.5635864;
1653318935;719750;1653318935;719812;1653318935;719750;-0.66;
1653318936;709784;1653318936;709893;1653318936;709784;-0.66;
1653318937;745086;1653318937;745141;1653318937;745086;-0.66;
1653318938;849182;1653318938;850660;1653318938;849182;-0.66;
1653318939;837807;1653318939;838149;1653318939;837807;-0.66;
1653318941;4830;1653318941;4956;1653318941;4830;0.5696561;
1653318941;973703;1653318941;973943;1653318941;973703;0.5209327;
1653318942;953711;1653318942;953943;1653318942;953711;0.4456847;
1653318943;870816;1653318943;871028;1653318943;870816;-0.66;
1653318944;804953;1653318944;805178;1653318944;804953;-0.66;
1653318945;803023;1653318945;803246;1653318945;803023;-0.66;
1653318946;779285;1653318946;779405;1653318946;779285;0.4442364;
1653318947;787144;1653318947;787194;1653318947;787144;0.3162092;
1653318948;670105;1653318948;670301;1653318948;670105;0.2172901;
1653318949;648830;1653318949;648884;1653318949;648830;-0.66;
1653318950;571295;1653318950;571373;1653318950;571295;-0.66;
1653318951;552951;1653318951;553209;1653318951;552951;0.06426349;
1653318952;470358;1653318952;470522;1653318952;470358;-0.66;
1653318953;498611;1653318953;498770;1653318953;498611;-0.04504432;
1653318954;375604;1653318954;375653;1653318954;375604;-0.1296227;
1653318955;365638;1653318955;365686;1653318955;365638;-0.2349517;
1653318956;357748;1653318956;357800;1653318956;357748;-0.3456605;
1653318957;355960;1653318957;356131;1653318957;355960;-0.4034995;
1653318958;297578;1653318958;297662;1653318958;297578;-0.4404753;
1653318959;226456;1653318959;226510;1653318959;226456;-0.4355138;
1653318960;15335;1653318960;15387;1653318960;15335;-0.3806858;
1653318961;74872;1653318961;74936;1653318961;74872;-0.3241323;
1653318961;838081;1653318961;839044;1653318961;838081;0.66;
1653318962;806978;1653318962;807212;1653318962;806978;0.66;
1653318963;575795;1653318963;575854;1653318963;575795;0.66;
1653318964;500145;1653318964;500318;1653318964;500145;0.66;
1653318965;500822;1653318965;500872;1653318965;500822;0.66;
1653318966;588585;1653318966;589297;1653318966;588585;-0.2560107;
1653318967;442488;1653318967;442703;1653318967;442488;-0.2494071;
1653318968;309939;1653318968;309986;1653318968;309939;0.66;
1653318969;144903;1653318969;144989;1653318969;144903;0.66;
1653318970;80120;1653318970;80305;1653318970;80120;0.66;
1653318970;942317;1653318970;942365;1653318970;942317;-0.2103942;
1653318971;870315;1653318971;870370;1653318971;870315;-0.1732429;
1653318972;814234;1653318972;814373;1653318972;814234;0.66;
1653318973;643714;1653318973;643761;1653318973;643714;0.66;
1653318974;542382;1653318974;542609;1653318974;542382;0.66;
1653318975;445851;1653318975;445951;1653318975;445851;-0.1004283;
1653318976;267374;1653318976;267422;1653318976;267374;-0.08435104;
1653318977;199506;1653318977;200255;1653318977;199506;-0.08121252;
1653318978;42616;1653318978;42960;1653318978;42616;-0.05288343;
1653318978;830901;1653318978;830984;1653318978;830901;0.66;
1653318979;811019;1653318979;811071;1653318979;811019;0.66;
1653318980;664753;1653318980;664850;1653318980;664753;0.02076207;
1653318981;522164;1653318981;522248;1653318981;522164;0.082929;
1653318982;415757;1653318982;415849;1653318982;415757;0.08869039;
1653318983;230826;1653318983;230880;1653318983;230826;0.0893039;
1653318984;156244;1653318984;156292;1653318984;156244;0.07566741;
1653318985;63067;1653318985;65331;1653318985;63067;0.1629027;
1653318985;902014;1653318985;902467;1653318985;902014;0.2019597;
1653318986;830553;1653318986;831359;1653318986;830553;0.2329671;
1653318987;693192;1653318987;693775;1653318987;693192;0.2129213;
1653318988;543596;1653318988;543691;1653318988;543596;0.2130284;
1653318989;591861;1653318989;591947;1653318989;591861;0.1670183;
1653318990;556936;1653318990;557016;1653318990;556936;0.1366031;
1653318991;500939;1653318991;501750;1653318991;500939;0.04785299;
1653318992;512090;1653318992;512543;1653318992;512090;-0.03542117;
1653318993;573504;1653318993;575710;1653318993;573504;-0.1125298;
1653318994;542271;1653318994;542353;1653318994;542271;-0.1801092;
1653318995;565629;1653318995;565677;1653318995;565629;-0.212051;
1653318996;467208;1653318996;467320;1653318996;467208;-0.212051;
1653318997;401005;1653318997;401070;1653318997;401005;-0.1638148;
1653318998;403300;1653318998;403458;1653318998;403300;-0.1380773;
1653318999;203903;1653318999;203957;1653318999;203903;0.66;
1653319000;31746;1653319000;31843;1653319000;31746;0.66;
1653319000;951277;1653319000;951406;1653319000;951277;0.66;
1653319001;800149;1653319001;800283;1653319001;800149;0.66;
1653319002;731084;1653319002;731816;1653319002;731084;-0.1005965;
1653319003;659038;1653319003;659093;1653319003;659038;-0.06873673;
1653319004;617475;1653319004;617523;1653319004;617475;-0.04360257;
1653319005;594960;1653319005;595013;1653319005;594960;0.66;
1653319006;559973;1653319006;560661;1653319006;559973;0.66;
1653319007;406087;1653319007;406135;1653319007;406087;0.0324223;
1653319008;316085;1653319008;316133;1653319008;316085;0.0556863;
1653319009;217382;1653319009;217427;1653319009;217382;0.09265578;
1653319010;223500;1653319010;223989;1653319010;223500;0.07365967;
1653319011;160200;1653319011;160273;1653319011;160200;0.03652773;
1653319012;48582;1653319012;48630;1653319012;48582;0.09092784;
1653319013;85364;1653319013;85413;1653319013;85364;0.1122998;
1653319014;139844;1653319014;140048;1653319014;139844;0.1132337;
1653319015;210768;1653319015;211113;1653319015;210768;0.06447516;
1653319016;128693;1653319016;128740;1653319016;128693;0.09061884;
1653319017;183683;1653319017;183733;1653319017;183683;0.08836007;
1653319018;224236;1653319018;224288;1653319018;224236;0.06340694;
1653319019;236252;1653319019;236302;1653319019;236252;0.02788774;
1653319020;274990;1653319020;275033;1653319020;274990;-0.02532067;
1653319021;301199;1653319021;301258;1653319021;301199;-0.0734044;
1653319022;277350;1653319022;277399;1653319022;277350;-0.0546298;
1653319023;243560;1653319023;243607;1653319023;243560;-0.02922712;
1653319024;324178;1653319024;324249;1653319024;324178;-0.08880859;
1653319025;418473;1653319025;418533;1653319025;418473;-0.1147549;
1653319026;471220;1653319026;471282;1653319026;471220;-0.1144866;
